Early-stage B2B venture firm. 200+ operator LPs from leading tech cos. Stages: Seed, Series A, some B. Sectors: Enterprise SaaS, data infrastructure, HR tech, fintech, healthcare tech. 45+ portfolio cos, 5 unicorns. LPs include COOs of Waymo, Stripe, Cloudflare.	Mallun Yen, Founder & Managing Partner (linkedin.com/in/mallun) San Francisco, CA; Dana Marohn Spiliotis, Partner (linkedin.com/in/danamarohn) San Francisco, CA
First women-led next-gen VC. Pre-seed and Seed. Sectors: Future of living, working, staying healthy -- consumer, healthcare, beauty, web3. Portfolio: Everlywell ($2.9B unicorn), Function of Beauty, Lovevery. 70+ investments. US and Asia cross-border focus.	Pocket Sun, Co-Founder & Managing Partner (linkedin.com/in/pocketsun) Vancouver, BC; Elizabeth Galbut, Co-Founder & Managing Partner (linkedin.com/in/egalbut) New York, NY
Pre-seed fund (fka Jane VC). Checks: $250K-$750K. Sectors: B2B software, future of work, fintech, digital health, AI. 68% portfolio outside Bay Area. No pitch deck or warm intro required -- 2-minute survey to apply. 18% of investments from cold emails. NOTE: active site is january.ventures.	Jennifer Neundorfer, Co-Founder & MP (linkedin.com/in/jkneundorfer) Boston, MA; Maren Thomas Bannon, Co-Founder & MP (linkedin.com/in/marenbannon) London, UK
Family office, ~$50M fund. Stages: Seed through Series D. Also LP in 25+ emerging funds led by women/diverse managers. Sectors: healthcare, consumer, enterprise, fintech, education, future of work. 94 portfolio cos, 4 unicorns. Incl HopSkipDrive, Pair Eyewear.	Linnea Roberts, Founder & CEO (linkedin.com/in/linnea-roberts-5a3630292) Atherton, CA; Ita Ekpoudom, Partner (linkedin.com/in/itaekpoudom) New York, NY
Mission-driven fund. Pre-seed, Seed, Series A. Original fund: $25K-$100K; Opportunity Fund: $250K-$1M. Accelerator: $100K for 5%. 200+ portfolio cos. Sectors: consumer products (24%), social impact (14%), business services (12%). Exclusively women, POC, LGBTQ founders.	Arlan Hamilton, Founder & Managing Partner (linkedin.com/in/arlanhamilton) Los Angeles, CA; Christie Pitts, General Partner (linkedin.com/in/christiepitts) San Francisco, CA
Seed-stage VC with gender/diversity lens. Checks: $100K-$250K. Sectors: Enterprise SaaS, AI, blockchain, cleantech, agtech, edtech, robotics. 41 portfolio cos. Requires product in market. At least one woman founder with 20%+ equity. Bank of America partner. #InvestInWomen Tour.	Elisa Miller-Out, Co-Founder & MP (linkedin.com/in/elisamillerout) Ithaca, NY
Global women-run venture firm. Post-seed early stage, Seed and Series A. Sectors: Edtech, fintech, foodtech, health/wellness tech. Portfolio ~50% US, ~50% emerging markets (MENAT, Singapore). 26 investments. 48% IRR first year.	Heather Henyon, Founding GP (linkedin.com/in/heatherhenyon) Dubai/New York
First US VC to focus on Series A with gender-diverse leadership. Incubated at Harvard Business School. Stages: Series A and B. Sectors: Enterprise SaaS, consumer internet, EdTech. Portfolio: Newsela (unicorn), HopSkipDrive. Geographic: Pacific NW and California.	Edith Dorsen, Co-Founder & MD (linkedin.com/in/edithdorsen) Portland, OR; Monica Dodi, Co-Founder & MD (linkedin.com/in/monicadodi) Los Angeles, CA
Fund within Alumni Ventures platform. Pre-seed through later stage. 15-20 investments/fund. AV check sizes $100K-$10M, sweet spot $1M-$3M. LP min ~$10K. Sectors: healthtech, fintech, AI, consumer. AV ranks 4th among VCs investing in female-led startups (357+ women-led cos backed).	Laura Rippy, Managing Partner (linkedin.com/in/laurarippy) Boston, MA; Meera Oak, Partner (linkedin.com/in/meeraoak) San Francisco, CA
Asset management focused on women in leadership since 2007. NOT a VC -- primarily public markets via WCEO ETF (NYSE). Companies with women CEOs across all sectors. Previously had private equity initiative (now on hiatus). Also runs Hypatia Investathon for college women.	Patricia Lizarraga, Managing Partner & Founder (linkedin.com/in/patricializarraga) New York, NY
