State/Region,Category,Organization,Website,Thesis & Details
New York,3) Women Funds,WOCstar Capital,https://wocstar.com,"Gayle Jennings-O'Byrne. Women of color tech entrepreneurs."
New York,3) Women Funds,Suttona Capital,https://suttona.com,"Female-led growth equity for consumer brands."
New York,3) Women Funds,Foxe Capital,https://foxecapital.com,"Ruth Foxe Blader. Fintech globally. Ex-Anthemis partner."
New York,3) Women Funds,Inspired Capital,https://inspiredcapital.com,"Alexa von Tobel. $330M Fund III. Early-stage."
New York,3) Women Funds,FemHealth Ventures,https://femhealthventures.com,"$65M Fund II. Drugs, devices, diagnostics for women's health."
New York,3) Women Funds,Amboy Street Ventures,https://amboystreet.vc,"First VC for sexual health and women's health tech. $20M fund."
New York,6) Micro-Funds,RH Capital,https://rhcapital.vc,"Health equity in women's health for underserved populations."
California,3) Women Funds,Merian Ventures,https://merianventures.com,"Alexsis de Raadt St. James. Cyber, blockchain, AI/ML."
California,3) Women Funds,LDR Ventures,https://ldrventures.com,"Maxine Kozler. Female and underserved entrepreneurs. Seed/Series A."
California,3) Women Funds,Coyote Ventures,https://coyote.ventures,"Jessica Karr. Women's health digital health. 100% female CEOs."
California,3) Women Funds,Avestria Ventures,https://avestria.vc,"Linda Greub. Women's health and life science. Women-led."
California,3) Women Funds,Topology Ventures,https://topologyventures.com,"Casey Caruso. $75M. AI, aerospace, robotics, neurotech."
California,3) Women Funds,Chemistry,https://chemistry.vc,"Kristina Shen. $350M Fund I. B2B fintech, dev tools."
California,3) Women Funds,Niremia Collective,https://niremia.com,"Naoko Okumoto. $22.5M Fund I. Well-being technology."
California,3) Women Funds,Willow Growth Partners,https://willowgrowth.com,"Amanda Schutzbank. Health, wellness, beauty, apparel, food."
California,3) Women Funds,WXR Fund,https://wxrfund.com,"Martina Welkhoff. Women in spatial computing/XR and AI."
California,3) Women Funds,SteelSky Ventures,https://steelskyventures.com,"Maria Toler. Women's health companies. Founded 2017."
California,6) Micro-Funds,Behind Genius Ventures,https://behindgenius.com,"Paige Finn Doherty. $8.9M Fund II. Youngest solo GP."
California,3) Women Funds,DigitalDX Ventures,https://digitaldxventures.com,"Woman-owned. Healthtech AI. 50%+ women founders."
California,3) Women Funds,2045 Ventures,https://2045ventures.com,"Carmen Palafox. Pre-seed/seed. Ally Capital Collab."
Illinois,3) Women Funds,Chingona Ventures,https://chingona.ventures,"Samara Mejia Hernandez. $52M Fund II. Latina-led."
Illinois,3) Women Funds,Supply Change Capital,https://supplychangecapital.com,"Shayna Harris. Food, culture, technology."
Texas,3) Women Funds,Rogue Women's Fund,https://roguewmn.com,"Caroline Lewis. B2B SaaS. Shares GP carry with founders."
Texas,3) Women Funds,Curate Capital,https://curate.capital,"Carrie Colbert. $15M. Consumer products by women for women."
Colorado,3) Women Funds,MergeLane,https://mergelane.com,"Sue Heilbronner. Accelerator + VC. 48 companies. 300 mentors."
Tennessee,3) Women Funds,Claritas Athena Ventures,https://claritascapital.com,"50% female team. Health tech, fintech. Nashville."
Tennessee,3) Women Funds,Wischoff Ventures,https://wischoff.com,"Nichole Wischoff. $50M Fund III. Fintech, logistics."
Washington,3) Women Funds,Swizzle Ventures,https://swizzle.vc,"Jessica Kamada. $5M. Women's health, caregiving."
Washington,2) Angels,SeaChange Fund,https://allianceofangels.com,"Susan Preston. ~100 investors. Pacific Northwest."
Georgia,2) Angels,ATL TrailblazHER Angels,https://atltrailblazherangels.com,"Marianne Faloni. Launched June 2025. Atlanta."
Georgia,2) Angels,Women on the Cap Table,https://atltrailblazherangels.com,"Karen Robinson Cope. Launched 2026. SE dealflow."
Georgia,3) Women Funds,Collab Capital,https://collabcapital.com,"Jewel Burks Solomon. $41M+ Fund II. Black founders."
Florida,4) Syndicates,360 Venture Collective,https://360venturecollective.com,"Kelly O'Connell. Women + LGBTQ+. Fintech, healthtech."
Massachusetts,3) Women Funds,The Engine Ventures,https://engine.xyz,"Katie Rae. MIT. $398M Fund III. Tough-tech."
Pennsylvania,3) Women Funds,Black Tech Nation Ventures,https://btn.vc,"Kelauni Jasmyn. $50M. Black entrepreneurs. Pittsburgh."
Washington DC,3) Women Funds,Pivotal Ventures,https://pivotalventures.org,"Melinda French Gates. Major LP in women-led funds."
